metric,value
trade_count,1
winning_trade_count,1
losing_trade_count,0
flat_trade_count,0
gross_profit,1004.9999999999955
gross_loss,0
net_profit_loss,1004.9999999999955
win_rate,1.0
profit_factor,
average_profit,1004.9999999999955
average_loss,
expectancy,1004.9999999999955
maximum_consecutive_wins,1
maximum_consecutive_losses,0
unmatched_buy_quantity,0
unmatched_sell_quantity,0
initial_equity,1000000.0
final_equity,1001005.0
absolute_profit_loss,1005.0
total_return,0.001005
maximum_drawdown,0.0
maximum_drawdown_amount,0.0
