rank,opening_range_end,stop_loss_rate,take_profit_rate,symbol_count,data_symbol_count,traded_symbol_count,source_bar_count,trade_count,win_count,loss_count,breakeven_count,win_rate,total_profit,gross_profit,gross_loss,average_profit,profit_factor,expectancy,max_drawdown
1,09:05,0.005,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,09:05,0.005,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,09:05,0.005,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,09:05,0.005,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,09:05,0.005,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,09:05,0.008,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,09:05,0.008,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,09:05,0.008,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,09:05,0.008,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,09:05,0.008,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
11,09:05,0.01,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12,09:05,0.01,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13,09:05,0.01,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
14,09:05,0.01,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
15,09:05,0.01,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
16,09:05,0.012,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
17,09:05,0.012,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
18,09:05,0.012,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
19,09:05,0.012,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
20,09:05,0.012,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
21,09:05,0.015,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
22,09:05,0.015,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
23,09:05,0.015,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
24,09:05,0.015,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
25,09:05,0.015,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
26,09:10,0.005,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
27,09:10,0.005,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
28,09:10,0.005,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
29,09:10,0.005,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
30,09:10,0.005,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
31,09:10,0.008,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
32,09:10,0.008,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
33,09:10,0.008,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
34,09:10,0.008,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
35,09:10,0.008,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
36,09:10,0.01,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
37,09:10,0.01,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
38,09:10,0.01,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
39,09:10,0.01,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
40,09:10,0.01,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
41,09:10,0.012,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
42,09:10,0.012,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
43,09:10,0.012,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
44,09:10,0.012,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
45,09:10,0.012,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
46,09:10,0.015,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
47,09:10,0.015,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
48,09:10,0.015,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
49,09:10,0.015,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
50,09:10,0.015,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
51,09:15,0.005,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
52,09:15,0.005,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
53,09:15,0.005,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
54,09:15,0.005,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
55,09:15,0.005,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
56,09:15,0.008,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
57,09:15,0.008,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
58,09:15,0.008,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
59,09:15,0.008,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
60,09:15,0.008,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
61,09:15,0.01,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
62,09:15,0.01,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
63,09:15,0.01,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
64,09:15,0.01,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
65,09:15,0.01,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
66,09:15,0.012,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
67,09:15,0.012,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
68,09:15,0.012,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
69,09:15,0.012,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
70,09:15,0.012,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
71,09:15,0.015,0.01,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
72,09:15,0.015,0.015,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
73,09:15,0.015,0.02,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
74,09:15,0.015,0.03,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
75,09:15,0.015,0.04,6,6,0,1340,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
